"ID","Company","EL Date","IBC Date","Est. Close Date","Project Name","EL Expiration Date","Status","Deal Type","Deal Slot","Closed Date","Dead Date","Primary Banker","Practice Area","Industry","Projected Transaction Size","Enterpise Value","Final Transaction Size","Projected Fee","Fee Minimum","Engagment Fee","Fee Details","Split to Corporate","Monthly Retainer","Final Total Sucess Fee","Ownership Class","Referral Type","Referral Source-Company","Referral Scource-Ind.","Description","Team Split-1","Team-1","Team Split-2","Team-2","Team Split-3","Team-3","Team Split-4","Team-4","Team Split-5","Team-5","Team Split-6","Team-6","Fee Split-1","Fee To-1","Fee Split-2","Fee To-2","Fee Split-3","Fee To-3","Fee Split-4","Fee To-4","Fee Split-5","Fee To-5","Fee Split-6","Fee To-6","Paul","McBroom","Pipeline","Month of Close","Gross This","Gross Next"
"498","Admiral Filter Co.","","","11/29/2013","Project Valve","","Closed","Advisory,M&A - Buy-side","Minimum","1/6/2014","","Len LaPorta","","","$4000000","< $10mm","$4000000","$90000","50000","0","","","0","","","Sole Sourced","","Len Laporta","","","Len LaPorta","","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"499","Advanced Lighting Technologies, Inc.","1/6/2014","","7/30/2014","ADLT","","Closed","Divestiture","Wheelhouse","7/11/2014","","Grant Garbers","","Industrials - Aerospace/Defense","$10000000","$10mm - $25mm","$16500000","$500000","500000","25000","","","0","825000","","Practice to Practice","Sole Sourced","Tess Oxenstierna","","","Grant Garbers","","Tess Oxenstierna","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"500","Affirmative USA","5/29/2013","","","","","Dead","M&A - Sell-side,","Speculative","","5/27/2014","Dave Francione","","","$15000000","$10mm - $25mm","","","","","","","","","","",""," ","","","Dave Francione","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"501","Allegheny Iron & Metal","10/8/2010","","10/31/2012","","","Dead","M&A - Sell-side","Speculative","","","Doug Usifer","","","$30000000","$25mm - $75mm","","$600000","0","30000","","","","","","","","Brad Hall","","","Doug Usifer","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"502","Alta Colleges","3/4/2014","3/3/2014","","Project Alpha","","Dead","Capital Formation - Debt,","Minimum","","","Bob Balaban","","Business Services - Education and Training","","","","","150000","0","","","25000","","","Corporate to Practice","","Phil Seefried","","","Bob Balaban","","Phil Seefried","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"503","Ambitions, Inc.","3/20/2014","2/17/2014","8/30/2014","Ambitions, Inc.","","Under LOI","M&A - Sell-side","Wheelhouse","","","David Baker","Healthcare","Healthcare - Services - Home health care","$40000000","$25mm - $75mm","","$400000","","0","","0.20","","","Privately Owned","IBS to Practice","BAML","","","","David Baker","","","","","","","","","","","","","","","","","","","","","","","0","1","IBS - Non-Corporate Pipeline","11/30/2014","400000","0"
"504","Ambre Energy North America, Inc.","4/16/2014","4/14/2014","","Ambre Energy North America, Inc.","","In Market","Capital Formation - Debt","Speculative","","","Joel Schneyer","Energy & Natural Resources","Energy & Natural Resources - Mining - Coal & Uranium","$169000000","< $150mm","","$5000000","","40000","","0.20","40000","","Public","Sole Sourced","Sole Sourced","Ricardo Campoy","1) Arranging acquisition capital to acquire Cloud Peak's 50% joint venture interest in the Decker Coal Company; 2) Arranging acquisition capital to acquire Arch Coal Company's 38% investment in the Millennium Bulk Terminal; 3) Assist in the divestiture of Black Butte Coal Company 4) Other capital raising assignments Ambre might request assistance with","50%","Joel Schneyer","50%","Ricardo Campoy","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","0","0"
"505","America Works","","4/7/2014","","","","","","","","","Melanie McFaddin","","Business Services - Staffing & Recruitment","","","","","","","","","","","","Sole Sourced",""," ","","","Melanie McFaddin","999%","","","","","","","","","","","","","","","","","","","","","","0","0","Standard Margine Pipeline - Non-Corporate","","",""
"506","Amteck","","5/12/2014","","","","","","","","","Darin Good","","Industrials - Construction Svcs and Homebuilders","","","","","","","","","","","","IBS to Practice",""," ","","","Darin Good","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
"507","Arc Partners","","4/14/2014","","","","","","","","","Melanie McFaddin","","Business Services - Information Technology Services","","","","","","","","","","","","Sole Sourced",""," ","","","Melanie McFaddin","","","","","","","","","","","","","","","","","","","","","","","","","Standard Margine Pipeline - Non-Corporate","","",""
